,energy,mag_field
0,1006.2031015507754,0.1
1,824.8324162081041,0.15
2,658.4042021010505,0.2
3,522.8914457228614,0.25
4,417.7788894447223,0.3
5,337.91395697848924,0.35
6,276.59829914957476,0.4
7,229.1945972986493,0.44999999999999996
8,192.61130565282642,0.5
9,163.7568784392196,0.5499999999999999
10,140.57028514257127,0.6
11,122.02101050525262,0.6499999999999999
12,106.5632816408204,0.7
13,93.68184092046023,0.7499999999999999
14,83.37668834417208,0.7999999999999999
15,74.61730865432716,0.8499999999999999
16,66.88844422211105,0.8999999999999999
17,60.19009504752376,0.95
18,54.52226113056528,0.9999999999999999
19,49.88494247123562,1.05
20,45.76288144072036,1.0999999999999999
21,41.6408204102051,1.15
22,38.54927463731866,1.2
