,mag_field,energy
0,0.075,988.8545272636319
1,0.14625,760.5111055527764
2,0.21750000000000003,551.4255627813907
3,0.28875,398.4629814907454
4,0.36000000000000004,306.57538769384695
5,0.4312500000000001,232.29499749874938
6,0.5025000000000001,180.57383691845922
7,0.57375,143.7087543771886
8,0.645,116.74772386193096
9,0.71625,102.44187093546773
10,0.7875000000000001,85.93511755877938
11,0.85875,72.7297148574287
12,0.93,62.82566283141571
13,1.0012500000000002,54.57228614307154
14,1.0725,47.9695847923962
15,1.14375,42.46733366683342
16,1.215,37.515307653826916
17,1.2862500000000001,33.66373186593297
18,1.3575000000000002,30.3623811905953
19,1.4287500000000002,27.611255627813907
20,1.5,24.860130065032518
